[2026-06-24 09:12:14 ] 감시 시작: threshold=239,800,000,000원, interval=30s, member_id=3576842387198770202
[2026-06-24 09:12:14 ] 확인: pay_amount=233,718,844,002원, remain=6,081,155,998원, total_order_qty=6,776,564
[2026-06-24 09:12:44 ] 확인: pay_amount=233,725,261,722원, remain=6,074,738,278원, total_order_qty=6,776,763
[2026-06-24 09:13:15 ] 확인: pay_amount=233,731,993,512원, remain=6,068,006,488원, total_order_qty=6,776,991
[2026-06-24 09:13:45 ] 확인: pay_amount=233,737,420,662원, remain=6,062,579,338원, total_order_qty=6,777,201
[2026-06-24 09:14:15 ] 확인: pay_amount=233,743,151,582원, remain=6,056,848,418원, total_order_qty=6,777,379
[2026-06-24 09:14:45 ] 확인: pay_amount=233,752,658,812원, remain=6,047,341,188원, total_order_qty=6,777,631
[2026-06-24 09:15:15 ] 확인: pay_amount=233,759,460,142원, remain=6,040,539,858원, total_order_qty=6,777,862
[2026-06-24 09:15:46 ] 확인: pay_amount=233,767,397,712원, remain=6,032,602,288원, total_order_qty=6,778,102
[2026-06-24 09:16:16 ] 확인: pay_amount=233,773,383,302원, remain=6,026,616,698원, total_order_qty=6,778,289
[2026-06-24 09:16:46 ] 확인: pay_amount=233,779,720,852원, remain=6,020,279,148원, total_order_qty=6,778,478
[2026-06-24 09:17:16 ] 확인: pay_amount=233,786,440,912원, remain=6,013,559,088원, total_order_qty=6,778,689
[2026-06-24 09:17:46 ] 확인: pay_amount=233,791,643,622원, remain=6,008,356,378원, total_order_qty=6,778,864
[2026-06-24 09:18:17 ] 확인: pay_amount=233,796,706,392원, remain=6,003,293,608원, total_order_qty=6,779,032
[2026-06-24 09:18:47 ] 확인: pay_amount=233,803,090,022원, remain=5,996,909,978원, total_order_qty=6,779,259
[2026-06-24 09:19:17 ] 확인: pay_amount=233,806,971,522원, remain=5,993,028,478원, total_order_qty=6,779,383
[2026-06-24 09:19:48 ] 확인: pay_amount=233,813,385,992원, remain=5,986,614,008원, total_order_qty=6,779,557
[2026-06-24 09:20:18 ] 확인: pay_amount=233,820,666,622원, remain=5,979,333,378원, total_order_qty=6,779,756
[2026-06-24 09:20:48 ] 확인: pay_amount=233,827,213,062원, remain=5,972,786,938원, total_order_qty=6,779,950
[2026-06-24 09:21:18 ] 확인: pay_amount=233,832,883,922원, remain=5,967,116,078원, total_order_qty=6,780,151
[2026-06-24 09:21:49 ] 확인: pay_amount=233,839,395,932원, remain=5,960,604,068원, total_order_qty=6,780,344
[2026-06-24 09:22:19 ] 확인: pay_amount=233,844,921,812원, remain=5,955,078,188원, total_order_qty=6,780,522
[2026-06-24 09:22:49 ] 확인: pay_amount=233,852,524,172원, remain=5,947,475,828원, total_order_qty=6,780,752
[2026-06-24 09:23:19 ] 확인: pay_amount=233,857,538,962원, remain=5,942,461,038원, total_order_qty=6,780,905
[2026-06-24 09:23:49 ] 확인: pay_amount=233,862,645,072원, remain=5,937,354,928원, total_order_qty=6,781,083
[2026-06-24 09:24:20 ] 확인: pay_amount=233,869,316,302원, remain=5,930,683,698원, total_order_qty=6,781,289
